8140 = U+3000 // 　
8780 = U+301d // 〝
8781 = U+301f // 〟
8782 = U+2116 // №
8783 = U+33cd // ㏍
8784 = U+2121 // ℡
8785 = U+32a4 // ㊤
8786 = U+32a5 // ㊥
8787 = U+32a6 // ㊦
8788 = U+32a7 // ㊧
8789 = U+32a8 // ㊨
878a = U+3231 // ㈱
878b = U+3232 // ㈲
878c = U+3239 // ㈹
878d = U+337e // ㍾
878e = U+337d // ㍽
878f = U+337c // ㍼
8790 = U+2252 // ≒
8791 = U+2261 // ≡
8792 = U+222b // ∫
8793 = U+222e // ∮
8794 = U+2211 // ∑
8795 = U+221a // √
8796 = U+22a5 // ⊥
8797 = U+2220 // ∠
8798 = U+221f // ∟
8799 = U+22bf // ⊿
879a = U+2235 // ∵
879b = U+2229 // ∩
879c = U+222a // ∪
889f = U+4e9c // 亜
88a0 = U+5516 // 唖
88a1 = U+5a03 // 娃
88a2 = U+963f // 阿
88a3 = U+54c0 // 哀
88a4 = U+611b // 愛
88a5 = U+6328 // 挨
88a6 = U+59f6 // 姶
88a7 = U+9022 // 逢
88a8 = U+8475 // 葵
88a9 = U+831c // 茜
88aa = U+7a50 // 穐
88ab = U+60aa // 悪
88ac = U+63e1 // 握
88ad = U+6e25 // 渥
88ae = U+65ed // 旭
88af = U+8466 // 葦
88b0 = U+82a6 // 芦
88b1 = U+9bf5 // 鯵
88b2 = U+6893 // 梓
88b3 = U+5727 // 圧
88b4 = U+65a1 // 斡
88b5 = U+6271 // 扱
88b6 = U+5b9b // 宛
88b7 = U+59d0 // 姐
88b8 = U+867b // 虻
88b9 = U+98f4 // 飴
88ba = U+7d62 // 絢
88bb = U+7dbe // 綾
88bc = U+9b8e // 鮎
88bd = U+6216 // 或
88be = U+7c9f // 粟
88bf = U+88b7 // 袷
88c0 = U+5b89 // 安
88c1 = U+5eb5 // 庵
88c2 = U+6309 // 按
88c3 = U+6697 // 暗
88c4 = U+6848 // 案
88c5 = U+95c7 // 闇
88c6 = U+978d // 鞍
88c7 = U+674f // 杏
88c8 = U+4ee5 // 以
88c9 = U+4f0a // 伊
88ca = U+4f4d // 位
88cb = U+4f9d // 依
88cc = U+5049 // 偉
88cd = U+56f2 // 囲
88ce = U+5937 // 夷
88cf = U+59d4 // 委
88d0 = U+5a01 // 威
88d1 = U+5c09 // 尉
88d2 = U+60df // 惟
88d3 = U+610f // 意
88d4 = U+6170 // 慰
88d5 = U+6613 // 易
88d6 = U+6905 // 椅
88d7 = U+70ba // 為
88d8 = U+754f // 畏
88d9 = U+7570 // 異
88da = U+79fb // 移
88db = U+7dad // 維
88dc = U+7def // 緯
88dd = U+80c3 // 胃
88de = U+840e // 萎
88df = U+8863 // 衣
88e0 = U+8b02 // 謂
88e1 = U+9055 // 違
88e2 = U+907a // 遺
88e3 = U+533b // 医
88e4 = U+4e95 // 井
88e5 = U+4ea5 // 亥
88e6 = U+57df // 域
88e7 = U+80b2 // 育
88e8 = U+90c1 // 郁
88e9 = U+78ef // 磯
88ea = U+4e00 // 一
88eb = U+58f1 // 壱
88ec = U+6ea2 // 溢
88ed = U+9038 // 逸
88ee = U+7a32 // 稲
88ef = U+8328 // 茨
88f0 = U+828b // 芋
88f1 = U+9c2f // 鰯
88f2 = U+5141 // 允
88f3 = U+5370 // 印
88f4 = U+54bd // 咽
88f5 = U+54e1 // 員
88f6 = U+56e0 // 因
88f7 = U+59fb // 姻
88f8 = U+5f15 // 引
88f9 = U+98f2 // 飲
88fa = U+6deb // 淫
88fb = U+80e4 // 胤
88fc = U+852d // 蔭
8940 = U+9662 // 院
8941 = U+9670 // 陰
8942 = U+96a0 // 隠
8943 = U+97fb // 韻
8944 = U+540b // 吋
8945 = U+53f3 // 右
8946 = U+5b87 // 宇
8947 = U+70cf // 烏
8948 = U+7fbd // 羽
8949 = U+8fc2 // 迂
894a = U+96e8 // 雨
894b = U+536f // 卯
894c = U+9d5c // 鵜
894d = U+7aba // 窺
894e = U+4e11 // 丑
894f = U+7893 // 碓
8950 = U+81fc // 臼
8951 = U+6e26 // 渦
8952 = U+5618 // 嘘
8953 = U+5504 // 唄
8954 = U+6b1d // 欝
8955 = U+851a // 蔚
8956 = U+9c3b // 鰻
8957 = U+59e5 // 姥
8958 = U+53a9 // 厩
8959 = U+6d66 // 浦
895a = U+74dc // 瓜
895b = U+958f // 閏
895d = U+4e91 // 云
895e = U+904b // 運
895f = U+96f2 // 雲
8961 = U+990c // 餌
8962 = U+53e1 // 叡
8963 = U+55b6 // 営
8964 = U+5b30 // 嬰
8965 = U+5f71 // 影
8966 = U+6620 // 映
8967 = U+66f3 // 曳
8968 = U+6804 // 栄
8969 = U+6c38 // 永
896a = U+6cf3 // 泳
896b = U+6d29 // 洩
896c = U+745b // 瑛
896d = U+76c8 // 盈
896e = U+7a4e // 穎
896f = U+9834 // 頴
8970 = U+82f1 // 英
8971 = U+885b // 衛
8972 = U+8a60 // 詠
8973 = U+92ed // 鋭
8974 = U+6db2 // 液
8975 = U+75ab // 疫
8976 = U+76ca // 益
8977 = U+99c5 // 駅
8978 = U+60a6 // 悦
8979 = U+8b01 // 謁
897a = U+8d8a // 越
897b = U+95b2 // 閲
897c = U+698e // 榎
897d = U+53ad // 厭
897e = U+5186 // 円
8980 = U+5712 // 園
8981 = U+5830 // 堰
8982 = U+5944 // 奄
8983 = U+5bb4 // 宴
8984 = U+5ef6 // 延
8985 = U+6028 // 怨
8986 = U+63a9 // 掩
8987 = U+63f4 // 援
8988 = U+6cbf // 沿
8989 = U+6f14 // 演
898a = U+708e // 炎
898b = U+7114 // 焔
898c = U+7159 // 煙
898d = U+71d5 // 燕
898e = U+733f // 猿
898f = U+7e01 // 縁
8990 = U+8276 // 艶
8991 = U+82d1 // 苑
8992 = U+8597 // 薗
8993 = U+9060 // 遠
8994 = U+925b // 鉛
8995 = U+9d1b // 鴛
8996 = U+5869 // 塩
8997 = U+65bc // 於
8998 = U+6c5a // 汚
8999 = U+7525 // 甥
899a = U+51f9 // 凹
899b = U+592e // 央
899c = U+5965 // 奥
899d = U+5f80 // 往
899e = U+5fdc // 応
899f = U+62bc // 押
89a0 = U+65fa // 旺
89a1 = U+6a2a // 横
89a2 = U+6b27 // 欧
89a3 = U+6bb4 // 殴
89a4 = U+738b // 王
89a5 = U+7fc1 // 翁
89a6 = U+8956 // 襖
89a7 = U+9d2c // 鴬
89a8 = U+9d0e // 鴎
89a9 = U+9ec4 // 黄
89aa = U+5ca1 // 岡
89ab = U+6c96 // 沖
89ac = U+837b // 荻
89ad = U+5104 // 億
89ae = U+5c4b // 屋
89af = U+61b6 // 憶
89b0 = U+81c6 // 臆
89b1 = U+6876 // 桶
89b2 = U+7261 // 牡
89b3 = U+4e59 // 乙
89b4 = U+4ffa // 俺
89b5 = U+5378 // 卸
89b6 = U+6069 // 恩
89b7 = U+6e29 // 温
89b8 = U+7a4f // 穏
89b9 = U+97f3 // 音
89ba = U+4e0b // 下
89bb = U+5316 // 化
89bc = U+4eee // 仮
89bd = U+4f55 // 何
89be = U+4f3d // 伽
89bf = U+4fa1 // 価
89c0 = U+4f73 // 佳
89c1 = U+52a0 // 加
89c2 = U+53ef // 可
89c3 = U+5609 // 嘉
89c4 = U+590f // 夏
89c5 = U+5ac1 // 嫁
89c6 = U+5bb6 // 家
89c7 = U+5be1 // 寡
89c8 = U+79d1 // 科
89c9 = U+6687 // 暇
89ca = U+679c // 果
89cb = U+67b6 // 架
89cc = U+6b4c // 歌
89cd = U+6cb3 // 河
89ce = U+706b // 火
89cf = U+73c2 // 珂
89d0 = U+798d // 禍
89d1 = U+79be // 禾
89d2 = U+7a3c // 稼
89d3 = U+7b87 // 箇
89d4 = U+82b1 // 花
89d5 = U+82db // 苛
89d6 = U+8304 // 茄
89d7 = U+8377 // 荷
89d8 = U+83ef // 華
89d9 = U+83d3 // 菓
89da = U+8766 // 蝦
89db = U+8ab2 // 課
89dc = U+5629 // 嘩
89dd = U+8ca8 // 貨
89de = U+8fe6 // 迦
89df = U+904e // 過
89e0 = U+971e // 霞
89e1 = U+868a // 蚊
89e2 = U+4fc4 // 俄
89e3 = U+5ce8 // 峨
89e4 = U+6211 // 我
89e5 = U+7259 // 牙
89e6 = U+753b // 画
89e7 = U+81e5 // 臥
89e8 = U+82bd // 芽
89e9 = U+86fe // 蛾
89ea = U+8cc0 // 賀
89eb = U+96c5 // 雅
89ec = U+9913 // 餓
89ed = U+99d5 // 駕
89ee = U+4ecb // 介
89ef = U+4f1a // 会
89f0 = U+89e3 // 解
89f1 = U+56de // 回
89f2 = U+584a // 塊
89f3 = U+58ca // 壊
89f4 = U+5efb // 廻
89f5 = U+5feb // 快
89f6 = U+602a // 怪
89f7 = U+6094 // 悔
89f8 = U+6062 // 恢
89f9 = U+61d0 // 懐
89fa = U+6212 // 戒
89fb = U+62d0 // 拐
89fc = U+6539 // 改
8a40 = U+9b41 // 魁
8a41 = U+6666 // 晦
8a42 = U+68b0 // 械
8a43 = U+6d77 // 海
8a44 = U+7070 // 灰
8a45 = U+754c // 界
8a46 = U+7686 // 皆
8a47 = U+7d75 // 絵
8a48 = U+82a5 // 芥
8a49 = U+87f9 // 蟹
8a4a = U+958b // 開
8a4b = U+968e // 階
8a4c = U+8c9d // 貝
8a4d = U+51f1 // 凱
8a4e = U+52be // 劾
8a4f = U+5916 // 外
8a50 = U+54b3 // 咳
8a51 = U+5bb3 // 害
8a52 = U+5d16 // 崖
8a53 = U+6168 // 慨
8a54 = U+6982 // 概
8a55 = U+6daf // 涯
8a56 = U+788d // 碍
8a57 = U+84cb // 蓋
8a58 = U+8857 // 街
8a59 = U+8a72 // 該
8a5a = U+93a7 // 鎧
8a5b = U+9ab8 // 骸
8a5d = U+99a8 // 馨
8a5e = U+86d9 // 蛙
8a5f = U+57a3 // 垣
8a61 = U+86ce // 蛎
8a62 = U+920e // 鈎
8a63 = U+5283 // 劃
8a64 = U+5687 // 嚇
8a65 = U+5404 // 各
8a66 = U+5ed3 // 廓
8a67 = U+62e1 // 拡
8a68 = U+64b9 // 撹
8a69 = U+683c // 格
8a6a = U+6838 // 核
8a6b = U+6bbb // 殻
8a6c = U+7372 // 獲
8a6d = U+78ba // 確
8a6e = U+7a6b // 穫
8a6f = U+899a // 覚
8a70 = U+89d2 // 角
8a71 = U+8d6b // 赫
8a72 = U+8f03 // 較
8a73 = U+90ed // 郭
8a74 = U+95a3 // 閣
8a75 = U+9694 // 隔
8a76 = U+9769 // 革
8a77 = U+5b66 // 学
8a78 = U+5cb3 // 岳
8a79 = U+697d // 楽
8a7a = U+984d // 額
8a7b = U+984e // 顎
8a7c = U+639b // 掛
8a7d = U+7b20 // 笠
8a7e = U+6a2b // 樫
8a80 = U+6a7f // 橿
8a81 = U+68b6 // 梶
8a82 = U+9c0d // 鰍
8a83 = U+6f5f // 潟
8a84 = U+5272 // 割
8a85 = U+559d // 喝
8a86 = U+6070 // 恰
8a87 = U+62ec // 括
8a88 = U+6d3b // 活
8a89 = U+6e07 // 渇
8a8a = U+6ed1 // 滑
8a8b = U+845b // 葛
8a8c = U+8910 // 褐
8a8d = U+8f44 // 轄
8a8e = U+4e14 // 且
8a8f = U+9c39 // 鰹
8a90 = U+53f6 // 叶
8a91 = U+691b // 椛
8a92 = U+6a3a // 樺
8a93 = U+9784 // 鞄
8a94 = U+682a // 株
8a95 = U+515c // 兜
8a96 = U+7ac3 // 竃
8a97 = U+84b2 // 蒲
8a98 = U+91dc // 釜
8a99 = U+938c // 鎌
8a9a = U+565b // 噛
8a9b = U+9d28 // 鴨
8a9c = U+6822 // 栢
8a9d = U+8305 // 茅
8a9e = U+8431 // 萱
8a9f = U+7ca5 // 粥
8aa0 = U+5208 // 刈
8aa1 = U+82c5 // 苅
8aa2 = U+74e6 // 瓦
8aa3 = U+4e7e // 乾
8aa4 = U+4f83 // 侃
8aa5 = U+51a0 // 冠
8aa6 = U+5bd2 // 寒
8aa7 = U+520a // 刊
8aa8 = U+52d8 // 勘
